latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
54.541664,10.2083435,0.0,0,GMT,GMT

time,wave_height (m),wave_direction (°),wind_wave_height (m),swell_wave_height (m),swell_wave_direction (°),wind_wave_direction (°),sea_surface_temperature (°C),ocean_current_velocity (km/h),sea_level_height_msl (m)
2026-03-13T19:15,0.20,239,0.12,0.14,258,206,2.8,0.4,-0.61

time,wave_height (m)
2026-03-13T00:00,0.64
2026-03-13T01:00,0.64
2026-03-13T02:00,0.66
2026-03-13T03:00,0.66
2026-03-13T04:00,0.68
2026-03-13T05:00,0.70
2026-03-13T06:00,0.72
2026-03-13T07:00,0.78
2026-03-13T08:00,0.84
2026-03-13T09:00,0.90
2026-03-13T10:00,0.80
2026-03-13T11:00,0.72
2026-03-13T12:00,0.62
2026-03-13T13:00,0.54
2026-03-13T14:00,0.44
2026-03-13T15:00,0.36
2026-03-13T16:00,0.30
2026-03-13T17:00,0.26
2026-03-13T18:00,0.20
2026-03-13T19:00,0.20
2026-03-13T20:00,0.18
2026-03-13T21:00,0.18
2026-03-13T22:00,0.16
2026-03-13T23:00,0.14
2026-03-14T00:00,0.12
2026-03-14T01:00,0.10
2026-03-14T02:00,0.06
2026-03-14T03:00,0.04
2026-03-14T04:00,0.04
2026-03-14T05:00,0.02
2026-03-14T06:00,0.02
2026-03-14T07:00,0.02
2026-03-14T08:00,0.02
2026-03-14T09:00,0.02
2026-03-14T10:00,0.02
2026-03-14T11:00,0.04
2026-03-14T12:00,0.04
2026-03-14T13:00,0.04
2026-03-14T14:00,0.02
2026-03-14T15:00,0.02
2026-03-14T16:00,0.02
2026-03-14T17:00,0.02
2026-03-14T18:00,0.02
2026-03-14T19:00,0.02
2026-03-14T20:00,0.02
2026-03-14T21:00,0.02
2026-03-14T22:00,0.02
2026-03-14T23:00,0.02
2026-03-15T00:00,0.02
2026-03-15T01:00,0.02
2026-03-15T02:00,0.04
2026-03-15T03:00,0.04
2026-03-15T04:00,0.04
2026-03-15T05:00,0.04
2026-03-15T06:00,0.04
2026-03-15T07:00,0.04
2026-03-15T08:00,0.04
2026-03-15T09:00,0.04
2026-03-15T10:00,0.06
2026-03-15T11:00,0.08
2026-03-15T12:00,0.10
2026-03-15T13:00,0.14
2026-03-15T14:00,0.18
2026-03-15T15:00,0.22
2026-03-15T16:00,0.20
2026-03-15T17:00,0.20
2026-03-15T18:00,0.18
2026-03-15T19:00,0.24
2026-03-15T20:00,0.28
2026-03-15T21:00,0.34
2026-03-15T22:00,0.38
2026-03-15T23:00,0.42
2026-03-16T00:00,0.46
2026-03-16T01:00,0.50
2026-03-16T02:00,0.52
2026-03-16T03:00,0.56
2026-03-16T04:00,0.52
2026-03-16T05:00,0.46
2026-03-16T06:00,0.42
2026-03-16T07:00,0.40
2026-03-16T08:00,0.40
2026-03-16T09:00,0.38
2026-03-16T10:00,0.38
2026-03-16T11:00,0.38
2026-03-16T12:00,0.38
2026-03-16T13:00,0.40
2026-03-16T14:00,0.40
2026-03-16T15:00,0.42
2026-03-16T16:00,0.38
2026-03-16T17:00,0.34
2026-03-16T18:00,0.30
2026-03-16T19:00,0.26
2026-03-16T20:00,0.24
2026-03-16T21:00,0.20
2026-03-16T22:00,0.20
2026-03-16T23:00,0.22
2026-03-17T00:00,0.22
2026-03-17T01:00,0.22
2026-03-17T02:00,0.22
2026-03-17T03:00,0.22
2026-03-17T04:00,0.22
2026-03-17T05:00,0.22
2026-03-17T06:00,0.22
2026-03-17T07:00,0.24
2026-03-17T08:00,0.24
2026-03-17T09:00,0.26
2026-03-17T10:00,0.26
2026-03-17T11:00,0.28
2026-03-17T12:00,0.28
2026-03-17T13:00,0.28
2026-03-17T14:00,0.28
2026-03-17T15:00,0.28
2026-03-17T16:00,0.26
2026-03-17T17:00,0.22
2026-03-17T18:00,0.20
2026-03-17T19:00,0.18
2026-03-17T20:00,0.16
2026-03-17T21:00,0.14
2026-03-17T22:00,0.16
2026-03-17T23:00,0.16
2026-03-18T00:00,0.18
2026-03-18T01:00,0.16
2026-03-18T02:00,0.16
2026-03-18T03:00,0.14
2026-03-18T04:00,0.12
2026-03-18T05:00,0.12
2026-03-18T06:00,0.10
2026-03-18T07:00,0.10
2026-03-18T08:00,0.12
2026-03-18T09:00,0.12
2026-03-18T10:00,0.12
2026-03-18T11:00,0.10
2026-03-18T12:00,0.10
2026-03-18T13:00,0.08
2026-03-18T14:00,0.06
2026-03-18T15:00,0.04
2026-03-18T16:00,0.04
2026-03-18T17:00,0.04
2026-03-18T18:00,0.04
2026-03-18T19:00,0.04
2026-03-18T20:00,0.06
2026-03-18T21:00,0.06
2026-03-18T22:00,0.08
2026-03-18T23:00,0.08
2026-03-19T00:00,0.10
2026-03-19T01:00,0.10
2026-03-19T02:00,0.10
2026-03-19T03:00,0.10
2026-03-19T04:00,0.08
2026-03-19T05:00,0.08
2026-03-19T06:00,0.06
2026-03-19T07:00,0.06
2026-03-19T08:00,0.04
2026-03-19T09:00,0.04
2026-03-19T10:00,0.04
2026-03-19T11:00,0.02
2026-03-19T12:00,0.02
2026-03-19T13:00,0.02
2026-03-19T14:00,0.02
2026-03-19T15:00,0.02
2026-03-19T16:00,0.02
2026-03-19T17:00,0.02
2026-03-19T18:00,0.02
2026-03-19T19:00,0.02
2026-03-19T20:00,0.04
2026-03-19T21:00,0.04
2026-03-19T22:00,0.04
2026-03-19T23:00,0.04
