latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,28800,Asia/Singapore,GMT+8

time,temperature_2m (°C)
2026-03-11T12:45,7.2

time,pressure_msl (hPa),wind_speed_80m (km/h),temperature_2m (°C),precipitation (mm),cloud_cover_low (%),cloud_cover_mid (%),surface_pressure (hPa),wind_speed_10m (km/h),soil_temperature_6cm (°C)
2026-03-11T00:00,1015.8,11.5,16.1,0.00,0,44,1011.3,7.2,16.4
2026-03-11T01:00,1015.9,10.2,15.3,0.00,0,46,1011.3,5.0,15.1
2026-03-11T02:00,1015.8,8.5,13.7,0.00,0,0,1011.2,3.7,13.5
2026-03-11T03:00,1016.5,13.8,12.4,0.00,0,68,1011.9,4.4,12.5
2026-03-11T04:00,1016.7,14.3,11.5,0.00,0,70,1012.1,4.0,11.7
2026-03-11T05:00,1017.3,16.6,10.3,0.00,0,32,1012.7,5.1,10.9
2026-03-11T06:00,1016.6,18.3,9.9,0.00,0,17,1012.0,5.8,10.4
2026-03-11T07:00,1016.7,18.9,9.3,0.00,0,65,1012.0,5.8,10.0
2026-03-11T08:00,1016.0,14.5,8.6,0.00,0,27,1011.3,4.3,9.4
2026-03-11T09:00,1016.0,19.1,8.2,0.00,3,15,1011.3,5.9,9.1
2026-03-11T10:00,1015.6,17.8,7.8,0.00,0,64,1010.9,5.8,8.8
2026-03-11T11:00,1015.8,12.1,7.3,0.00,45,82,1011.1,4.7,8.5
2026-03-11T12:00,1015.5,14.2,7.3,0.00,45,57,1010.8,5.1,8.5
2026-03-11T13:00,1015.8,13.7,7.2,0.00,43,100,1011.1,4.4,8.5
2026-03-11T14:00,1015.7,15.1,7.5,0.30,7,100,1011.0,6.2,8.6
2026-03-11T15:00,1015.8,14.2,8.0,0.00,0,77,1011.1,7.8,8.6
2026-03-11T16:00,1015.8,15.6,9.5,0.00,0,0,1011.1,9.0,9.5
2026-03-11T17:00,1015.5,16.6,11.5,0.00,0,0,1010.9,10.3,11.2
2026-03-11T18:00,1015.1,19.6,13.9,0.00,0,0,1010.5,12.4,13.2
2026-03-11T19:00,1014.6,25.8,15.4,0.00,73,5,1010.0,15.7,15.0
2026-03-11T20:00,1013.9,27.3,16.3,0.00,20,47,1009.4,15.8,16.0
2026-03-11T21:00,1013.1,31.3,16.5,0.00,51,85,1008.6,16.6,16.7
2026-03-11T22:00,1012.6,28.3,16.6,0.00,48,45,1008.1,15.6,16.6
2026-03-11T23:00,1012.4,29.4,16.5,0.00,42,98,1007.9,13.8,16.2
2026-03-12T00:00,1012.4,24.3,15.8,0.00,11,100,1007.9,14.4,15.6
2026-03-12T01:00,1012.2,21.0,15.2,0.00,0,100,1007.7,11.4,14.7
2026-03-12T02:00,1012.3,20.5,14.1,0.00,10,91,1007.7,9.4,13.8
2026-03-12T03:00,1012.4,24.8,13.2,0.00,63,100,1007.8,12.7,13.1
2026-03-12T04:00,1012.6,27.3,12.8,0.00,69,100,1008.0,14.0,12.7
2026-03-12T05:00,1013.1,22.4,12.2,0.00,61,100,1008.5,13.2,12.5
2026-03-12T06:00,1013.6,26.1,11.5,0.00,82,98,1009.0,10.7,12.1
2026-03-12T07:00,1014.2,27.2,11.0,0.10,70,95,1009.6,10.3,11.8
2026-03-12T08:00,1014.7,24.9,10.4,0.30,100,96,1010.1,11.5,11.5
2026-03-12T09:00,1015.2,23.3,9.8,0.30,86,99,1010.6,10.8,11.2
2026-03-12T10:00,1015.7,23.6,9.6,0.00,24,100,1011.1,9.8,10.9
2026-03-12T11:00,1016.5,20.4,9.3,0.00,74,100,1011.8,9.7,10.7
2026-03-12T12:00,1017.5,19.6,8.4,0.00,53,81,1012.8,12.6,10.3
2026-03-12T13:00,1018.3,16.5,7.4,0.00,47,86,1013.6,13.0,9.8
2026-03-12T14:00,1019.2,14.1,7.0,0.00,69,100,1014.5,11.3,9.2
2026-03-12T15:00,1020.3,15.1,6.9,0.00,86,0,1015.6,12.0,9.2
2026-03-12T16:00,1021.1,13.4,7.2,0.00,73,0,1016.4,10.6,9.8
