latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,28800,Asia/Singapore,GMT+8

time,temperature_2m (°C),pressure_msl (hPa),wind_speed_80m (km/h)
2026-03-11T00:00,16.1,1015.8,11.5
2026-03-11T01:00,15.3,1015.9,10.2
2026-03-11T02:00,13.7,1015.8,8.5
2026-03-11T03:00,12.4,1016.5,13.8
2026-03-11T04:00,11.5,1016.7,14.3
2026-03-11T05:00,10.3,1017.3,16.6
2026-03-11T06:00,9.9,1016.6,18.3
2026-03-11T07:00,9.3,1016.7,18.9
2026-03-11T08:00,8.6,1016.0,14.5
2026-03-11T09:00,8.2,1016.0,19.1
2026-03-11T10:00,7.8,1015.6,17.8
2026-03-11T11:00,7.7,1015.9,12.1
2026-03-11T12:00,7.9,1015.9,14.2
2026-03-11T13:00,8.2,1015.7,13.7
2026-03-11T14:00,8.4,1015.6,15.1
2026-03-11T15:00,8.4,1015.8,14.2
2026-03-11T16:00,9.6,1015.7,15.6
2026-03-11T17:00,11.6,1015.5,16.6
2026-03-11T18:00,13.7,1015.1,19.6
2026-03-11T19:00,15.4,1014.6,25.8
2026-03-11T20:00,16.2,1013.9,27.3
2026-03-11T21:00,16.4,1012.9,31.3
2026-03-11T22:00,16.9,1012.4,28.3
2026-03-11T23:00,16.6,1012.3,29.4
2026-03-12T00:00,16.1,1012.1,24.3
2026-03-12T01:00,15.4,1012.0,21.0
2026-03-12T02:00,14.2,1012.3,20.5
2026-03-12T03:00,13.2,1012.6,24.8
2026-03-12T04:00,12.5,1013.1,27.3
2026-03-12T05:00,11.7,1013.6,22.4
2026-03-12T06:00,11.3,1014.3,26.1
2026-03-12T07:00,10.7,1014.9,27.2
2026-03-12T08:00,9.9,1015.6,24.9
2026-03-12T09:00,9.5,1016.2,23.3
2026-03-12T10:00,8.8,1016.9,23.6
2026-03-12T11:00,7.8,1017.6,20.4
2026-03-12T12:00,6.8,1018.6,19.6
2026-03-12T13:00,6.1,1019.1,16.5
2026-03-12T14:00,5.6,1019.9,14.1
2026-03-12T15:00,5.6,1020.7,15.1
2026-03-12T16:00,6.5,1021.5,13.4
2026-03-12T17:00,7.9,1021.9,10.7
2026-03-12T18:00,9.6,1022.0,11.3
2026-03-12T19:00,11.3,1021.9,14.6
2026-03-12T20:00,12.1,1021.6,15.0
2026-03-12T21:00,12.5,1021.2,16.5
2026-03-12T22:00,13.2,1020.5,14.6
2026-03-12T23:00,13.1,1019.9,19.7
2026-03-13T00:00,12.8,1019.5,20.1
2026-03-13T01:00,12.1,1019.4,20.3
2026-03-13T02:00,10.6,1019.2,18.9
2026-03-13T03:00,9.3,1019.3,20.0
2026-03-13T04:00,8.2,1018.9,22.3
2026-03-13T05:00,7.4,1018.4,22.3
2026-03-13T06:00,6.5,1018.2,24.3
2026-03-13T07:00,5.6,1018.0,25.2
2026-03-13T08:00,4.7,1017.6,27.4
2026-03-13T09:00,3.9,1017.1,29.2
2026-03-13T10:00,3.6,1016.2,30.3
2026-03-13T11:00,3.3,1015.6,30.1
2026-03-13T12:00,3.0,1015.1,30.6
2026-03-13T13:00,2.9,1014.5,31.4
2026-03-13T14:00,3.1,1013.8,31.7
2026-03-13T15:00,4.5,1013.2,26.3
2026-03-13T16:00,7.3,1012.6,25.9
2026-03-13T17:00,10.5,1011.8,28.5
2026-03-13T18:00,12.6,1010.9,32.8
2026-03-13T19:00,14.0,1009.6,35.7
2026-03-13T20:00,15.0,1008.4,36.2
2026-03-13T21:00,15.7,1007.0,36.2
2026-03-13T22:00,16.1,1006.1,34.1
2026-03-13T23:00,16.1,1005.2,34.4
2026-03-14T00:00,15.7,1004.6,31.4
