latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
54.541664,10.2083435,0.0,28800,Asia/Singapore,GMT+8

time,wave_height (m),wave_direction (°),wave_period (s),wave_peak_period (undefined),sea_level_height_msl (m),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C),swell_wave_height (m),swell_wave_period (s),swell_wave_peak_period (s),wind_wave_peak_period (s),wind_wave_period (s),swell_wave_direction (°),wind_wave_direction (°),wind_wave_height (m)
2026-06-15T04:15,0.58,302,3.30,NaN,-0.09,0.4,90,15.2,0.28,3.25,4.25,3.55,2.70,339,289,0.52

time,wave_height (m),wind_wave_height (m),wind_wave_direction (°),wind_wave_period (s),wind_wave_peak_period (s),wave_direction (°),wave_period (s),wave_peak_period (undefined),secondary_swell_wave_height (m),secondary_swell_wave_period (s),secondary_swell_wave_direction (°),swell_wave_direction (°),swell_wave_height (m),swell_wave_period (s),swell_wave_peak_period (s),tertiary_swell_wave_period (undefined),tertiary_swell_wave_height (undefined),tertiary_swell_wave_direction (undefined),sea_level_height_msl (m),sea_surface_temperature (°C),ocean_current_velocity (km/h),ocean_current_direction (°)
2026-06-07T00:00,0.18,0.12,106,1.70,2.95,87,2.10,NaN,0.04,2.40,139,67,0.12,1.90,3.55,NaN,NaN,NaN,-0.20,17.0,0.4,333
2026-06-07T01:00,0.16,0.10,112,1.55,2.95,88,2.15,NaN,0.02,2.15,158,72,0.12,1.95,3.55,NaN,NaN,NaN,-0.21,17.0,0.4,0
2026-06-07T02:00,0.14,0.08,118,1.40,2.45,88,2.20,NaN,0.02,1.90,177,78,0.12,1.95,2.95,NaN,NaN,NaN,-0.21,17.0,0.4,0
2026-06-07T03:00,0.14,0.06,127,1.35,1.50,89,2.25,NaN,0.02,1.70,195,82,0.12,1.95,3.25,NaN,NaN,NaN,-0.16,17.0,0.4,27
2026-06-07T04:00,0.12,0.06,135,1.30,2.95,90,2.25,NaN,0.02,1.55,212,86,0.12,1.95,3.55,NaN,NaN,NaN,-0.14,17.0,0.4,27
2026-06-07T05:00,0.12,0.04,144,1.25,1.85,91,2.30,NaN,0.02,1.40,230,90,0.12,1.95,3.25,NaN,NaN,NaN,-0.17,16.9,0.4,0
2026-06-07T06:00,0.12,0.04,158,1.25,2.45,92,2.35,NaN,0.02,1.35,229,91,0.12,2.00,3.25,NaN,NaN,NaN,-0.20,16.8,0.2,0
2026-06-07T07:00,0.12,0.02,172,1.25,2.00,92,2.45,NaN,0.02,1.35,229,91,0.12,2.05,3.25,NaN,NaN,NaN,-0.18,16.7,0.2,0
2026-06-07T08:00,0.12,0.02,186,1.25,1.50,93,2.50,NaN,0.02,1.35,228,92,0.12,2.10,3.25,NaN,NaN,NaN,-0.16,16.7,0.2,0
2026-06-07T09:00,0.12,0.02,189,1.30,1.00,93,2.55,NaN,0.02,1.35,236,92,0.12,2.10,3.25,NaN,NaN,NaN,-0.16,16.6,0.2,0
2026-06-07T10:00,0.12,0.04,191,1.40,1.50,94,2.55,NaN,0.02,1.35,245,93,0.10,2.15,3.25,NaN,NaN,NaN,-0.17,16.6,0.2,0
2026-06-07T11:00,0.12,0.04,194,1.45,1.50,94,2.50,NaN,0.02,1.40,253,93,0.10,2.15,3.25,NaN,NaN,NaN,-0.15,16.5,0.3,45
2026-06-07T12:00,0.12,0.06,195,1.45,1.50,103,2.35,NaN,0.04,1.55,205,95,0.10,2.15,3.25,NaN,NaN,NaN,-0.15,16.4,0.4,27
2026-06-07T13:00,0.14,0.08,196,1.40,2.00,111,2.20,NaN,0.04,1.70,156,96,0.08,2.15,3.25,NaN,NaN,NaN,-0.18,16.4,0.4,27
2026-06-07T14:00,0.14,0.10,197,1.45,2.20,120,2.10,NaN,0.06,1.90,108,98,0.08,2.20,2.65,NaN,NaN,NaN,-0.21,16.4,0.5,45
2026-06-07T15:00,0.26,0.20,203,1.70,2.45,149,2.25,NaN,0.08,2.10,162,117,0.12,2.35,2.95,NaN,NaN,NaN,-0.22,16.4,0.5,45
2026-06-07T16:00,0.36,0.32,209,2.10,2.45,177,2.50,NaN,0.08,2.35,216,137,0.14,2.55,2.95,NaN,NaN,NaN,-0.22,16.4,0.5,45
2026-06-07T17:00,0.48,0.42,215,2.35,2.65,206,2.65,NaN,0.10,2.55,270,156,0.18,2.65,3.25,NaN,NaN,NaN,-0.27,16.4,0.6,56
2026-06-07T18:00,0.44,0.40,218,2.40,2.65,211,2.65,NaN,0.08,2.70,327,158,0.14,2.65,3.25,NaN,NaN,NaN,-0.34,16.4,0.4,63
2026-06-07T19:00,0.38,0.36,220,2.30,2.65,215,2.55,NaN,0.06,2.85,25,161,0.12,2.55,3.25,NaN,NaN,NaN,-0.36,16.4,0.4,63
2026-06-07T20:00,0.34,0.34,223,2.25,2.65,220,2.45,NaN,0.04,2.95,82,163,0.08,2.50,2.95,NaN,NaN,NaN,-0.37,16.4,0.4,90
2026-06-07T21:00,0.34,0.34,228,2.25,2.95,225,2.45,NaN,0.04,2.95,90,167,0.08,2.45,3.25,NaN,NaN,NaN,-0.37,16.4,0.5,90
2026-06-07T22:00,0.36,0.36,233,2.25,2.95,230,2.45,NaN,0.04,2.95,98,171,0.06,2.40,3.55,NaN,NaN,NaN,-0.40,16.4,0.4,90
2026-06-07T23:00,0.36,0.36,238,2.30,3.25,235,2.50,NaN,0.04,2.95,106,175,0.06,2.35,3.90,NaN,NaN,NaN,-0.39,16.3,0.4,90
2026-06-08T00:00,0.38,0.38,244,2.35,3.25,242,2.55,NaN,0.04,3.00,55,181,0.06,2.35,4.30,NaN,NaN,NaN,-0.34,16.3,0.4,117
2026-06-08T01:00,0.38,0.38,250,2.40,3.55,248,2.55,NaN,0.02,3.10,4,188,0.06,2.40,3.90,NaN,NaN,NaN,-0.32,16.3,0.4,117
2026-06-08T02:00,0.40,0.40,256,2.40,3.55,255,2.60,NaN,0.02,3.15,313,194,0.06,2.45,4.30,NaN,NaN,NaN,-0.33,16.2,0.4,90
2026-06-08T03:00,0.38,0.38,259,2.40,3.55,258,2.60,NaN,0.02,3.20,300,233,0.06,2.60,4.30,NaN,NaN,NaN,-0.32,16.2,0.4,90
2026-06-08T04:00,0.38,0.38,261,2.40,3.25,262,2.60,NaN,0.04,3.30,286,273,0.06,2.85,4.30,NaN,NaN,NaN,-0.30,16.1,0.4,90
2026-06-08T05:00,0.36,0.36,264,2.35,3.25,265,2.60,NaN,0.04,3.25,273,312,0.06,2.95,4.30,NaN,NaN,NaN,-0.31,16.1,0.4,90
2026-06-08T06:00,0.32,0.32,265,2.30,2.95,267,2.55,NaN,0.04,3.05,265,310,0.08,2.90,3.90,NaN,NaN,NaN,-0.36,16.0,0.2,90
2026-06-08T07:00,0.30,0.28,265,2.25,2.65,268,2.50,NaN,0.04,2.75,258,307,0.08,2.75,3.55,NaN,NaN,NaN,-0.39,16.0,0.2,90
2026-06-08T08:00,0.26,0.24,266,2.15,2.65,270,2.45,NaN,0.04,2.50,250,305,0.10,2.55,3.25,NaN,NaN,NaN,-0.38,16.0,0.2,90
2026-06-08T09:00,0.22,0.20,257,2.00,2.45,272,2.40,NaN,0.04,2.45,265,298,0.10,2.35,2.95,NaN,NaN,NaN,-0.36,15.9,0.2,90
2026-06-08T10:00,0.20,0.14,249,1.80,2.00,274,2.35,NaN,0.06,2.50,280,292,0.12,2.15,2.45,NaN,NaN,NaN,-0.37,15.9,0.0,90
2026-06-08T11:00,0.16,0.10,240,1.65,1.85,276,2.30,NaN,0.06,2.45,295,285,0.12,2.00,2.45,NaN,NaN,NaN,-0.37,15.9,0.0,90
2026-06-08T12:00,0.14,0.08,223,1.50,1.65,276,2.25,NaN,0.06,2.25,282,289,0.10,2.00,2.00,NaN,NaN,NaN,-0.33,15.9,0.0,90
2026-06-08T13:00,0.12,0.06,206,1.40,1.65,276,2.15,NaN,0.04,2.00,270,292,0.08,2.05,2.20,NaN,NaN,NaN,-0.28,15.9,0.2,0
2026-06-08T14:00,0.10,0.04,189,1.30,1.85,276,2.10,NaN,0.04,1.75,257,296,0.06,2.05,2.20,NaN,NaN,NaN,-0.26,15.9,0.2,0
2026-06-08T15:00,0.08,0.04,182,1.30,2.00,276,2.05,NaN,0.04,1.55,245,296,0.06,2.05,2.45,NaN,NaN,NaN,-0.25,16.0,0.2,0
2026-06-08T16:00,0.06,0.02,176,1.35,2.00,276,2.05,NaN,0.02,1.45,232,295,0.04,2.00,2.45,NaN,NaN,NaN,-0.21,16.1,0.3,45
2026-06-08T17:00,0.04,0.02,169,1.25,2.00,276,2.00,NaN,0.02,1.40,220,295,0.04,1.90,2.45,NaN,NaN,NaN,-0.18,16.2,0.4,27
