latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
54.541664,10.2083435,0.0,0,GMT,GMT

time,sea_surface_temperature (°C)
2026-03-15T16:00,3.6

time,sea_surface_temperature (°C)
2026-03-15T00:00,3.3
2026-03-15T01:00,3.2
2026-03-15T02:00,3.2
2026-03-15T03:00,3.2
2026-03-15T04:00,3.2
2026-03-15T05:00,3.2
2026-03-15T06:00,3.2
2026-03-15T07:00,3.2
2026-03-15T08:00,3.2
2026-03-15T09:00,3.3
2026-03-15T10:00,3.4
2026-03-15T11:00,3.5
2026-03-15T12:00,3.5
2026-03-15T13:00,3.5
2026-03-15T14:00,3.5
2026-03-15T15:00,3.6
2026-03-15T16:00,3.6
2026-03-15T17:00,3.6
2026-03-15T18:00,3.6
2026-03-15T19:00,3.6
2026-03-15T20:00,3.5
2026-03-15T21:00,3.5
2026-03-15T22:00,3.5
2026-03-15T23:00,3.5
2026-03-16T00:00,3.4
2026-03-16T01:00,3.3
2026-03-16T02:00,3.3
2026-03-16T03:00,3.3
2026-03-16T04:00,3.3
2026-03-16T05:00,3.2
2026-03-16T06:00,3.2
2026-03-16T07:00,3.2
2026-03-16T08:00,3.2
2026-03-16T09:00,3.2
2026-03-16T10:00,3.2
2026-03-16T11:00,3.2
2026-03-16T12:00,3.2
2026-03-16T13:00,3.2
2026-03-16T14:00,3.2
2026-03-16T15:00,3.3
2026-03-16T16:00,3.3
2026-03-16T17:00,3.3
2026-03-16T18:00,3.3
2026-03-16T19:00,3.3
2026-03-16T20:00,3.3
2026-03-16T21:00,3.2
2026-03-16T22:00,3.2
2026-03-16T23:00,3.2
2026-03-17T00:00,3.2
2026-03-17T01:00,3.2
2026-03-17T02:00,3.2
2026-03-17T03:00,3.2
2026-03-17T04:00,3.1
2026-03-17T05:00,3.1
2026-03-17T06:00,3.1
2026-03-17T07:00,3.1
2026-03-17T08:00,3.1
2026-03-17T09:00,3.2
2026-03-17T10:00,3.2
2026-03-17T11:00,3.2
2026-03-17T12:00,3.2
2026-03-17T13:00,3.2
2026-03-17T14:00,3.2
2026-03-17T15:00,3.3
2026-03-17T16:00,3.3
2026-03-17T17:00,3.3
2026-03-17T18:00,3.4
2026-03-17T19:00,3.4
2026-03-17T20:00,3.5
2026-03-17T21:00,3.5
2026-03-17T22:00,3.5
2026-03-17T23:00,3.5
2026-03-18T00:00,3.5
2026-03-18T01:00,3.5
2026-03-18T02:00,3.5
2026-03-18T03:00,3.4
2026-03-18T04:00,3.4
2026-03-18T05:00,3.4
2026-03-18T06:00,3.4
2026-03-18T07:00,3.5
2026-03-18T08:00,3.5
2026-03-18T09:00,3.5
2026-03-18T10:00,3.6
2026-03-18T11:00,3.7
2026-03-18T12:00,3.8
2026-03-18T13:00,3.8
2026-03-18T14:00,3.9
2026-03-18T15:00,4.0
2026-03-18T16:00,4.1
2026-03-18T17:00,4.1
2026-03-18T18:00,4.1
2026-03-18T19:00,4.1
2026-03-18T20:00,4.1
2026-03-18T21:00,4.0
2026-03-18T22:00,4.0
2026-03-18T23:00,3.9
2026-03-19T00:00,3.8
2026-03-19T01:00,3.8
2026-03-19T02:00,3.8
2026-03-19T03:00,3.8
2026-03-19T04:00,3.7
2026-03-19T05:00,3.7
2026-03-19T06:00,3.7
2026-03-19T07:00,3.8
2026-03-19T08:00,3.8
2026-03-19T09:00,3.9
2026-03-19T10:00,4.0
2026-03-19T11:00,4.1
2026-03-19T12:00,4.2
2026-03-19T13:00,4.2
2026-03-19T14:00,4.2
2026-03-19T15:00,4.2
2026-03-19T16:00,4.2
2026-03-19T17:00,4.2
2026-03-19T18:00,4.2
2026-03-19T19:00,4.1
2026-03-19T20:00,4.1
2026-03-19T21:00,4.0
2026-03-19T22:00,4.0
2026-03-19T23:00,3.9
2026-03-20T00:00,3.8
2026-03-20T01:00,3.8
2026-03-20T02:00,3.8
2026-03-20T03:00,3.8
2026-03-20T04:00,3.7
2026-03-20T05:00,3.7
2026-03-20T06:00,3.7
2026-03-20T07:00,3.8
2026-03-20T08:00,3.8
2026-03-20T09:00,3.9
2026-03-20T10:00,4.0
2026-03-20T11:00,4.1
2026-03-20T12:00,4.2
2026-03-20T13:00,4.2
2026-03-20T14:00,4.2
2026-03-20T15:00,4.3
2026-03-20T16:00,4.3
2026-03-20T17:00,4.4
2026-03-20T18:00,4.4
2026-03-20T19:00,4.3
2026-03-20T20:00,4.3
2026-03-20T21:00,4.2
2026-03-20T22:00,4.2
2026-03-20T23:00,4.1
2026-03-21T00:00,4.0
2026-03-21T01:00,4.0
2026-03-21T02:00,3.8
2026-03-21T03:00,3.8
2026-03-21T04:00,3.8
2026-03-21T05:00,3.8
2026-03-21T06:00,3.8
2026-03-21T07:00,3.8
2026-03-21T08:00,3.9
2026-03-21T09:00,4.0
2026-03-21T10:00,4.2
2026-03-21T11:00,4.2
2026-03-21T12:00,4.3
2026-03-21T13:00,4.4
2026-03-21T14:00,4.4
2026-03-21T15:00,4.5
2026-03-21T16:00,4.6
2026-03-21T17:00,4.6
2026-03-21T18:00,4.6
2026-03-21T19:00,4.5
2026-03-21T20:00,4.4
2026-03-21T21:00,4.4
2026-03-21T22:00,4.3
2026-03-21T23:00,4.2
